"Title","ID","Created date","Updated date","Owner","Interest","User ID","Member","Distributed Content","Type"
,"067a3a47-64f2-4732-a23a-8232ba17129f",2021-11-23T04:02:02Z,2021-11-23T04:02:02Z,"0bfa3b2a-4dad-4bd3-9020-fe2cacf2619c","Class Assignment","0bfa3b2a-4dad-4bd3-9020-fe2cacf2619c","0eaeaba7-a3e1-4a39-ac11-7fb6aadae1aa","2119eba5-f949-4e72-887c-0e9af2de5cca","Instructor Material"
,"068b21ac-299a-458f-9238-7b90eb91b051",2022-01-10T20:35:31Z,2022-01-10T20:35:31Z,"1e9588e7-a8be-487c-af02-19429be1ac9d","Class Assignment","1e9588e7-a8be-487c-af02-19429be1ac9d","20614315-e0b1-491a-875a-6e8c3b1d5900","adb0780a-d15a-400b-b113-209885cfaf4e","Instructor Material"
,"06d9c031-e230-435b-b01d-e6c55e6025d9",2022-01-10T14:38:19Z,2022-01-10T14:38:19Z,"3a7dceec-5ae8-450f-9fa0-8e6087b8438f","Class Assignment","3a7dceec-5ae8-450f-9fa0-8e6087b8438f","e7272157-8e34-46ac-8f27-0fd7a47dd5f5","2119eba5-f949-4e72-887c-0e9af2de5cca","Student Material"
,"06fc3b03-6704-4513-938d-6e87fa0ae5cf",2021-10-20T21:21:46Z,2021-10-20T21:21:46Z,"410e9077-e627-4863-be56-44ee29d3a025","Other","410e9077-e627-4863-be56-44ee29d3a025","7424664f-9b67-417f-a800-99ba4466ade7","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"0710540e-2a47-439d-95cb-febb92906724",2021-12-02T19:10:23Z,2021-12-02T19:10:23Z,"6da73ec5-52b7-437b-b33a-66f81f8ceb78","Class Assignment","6da73ec5-52b7-437b-b33a-66f81f8ceb78","f7dc2be2-1dcb-422a-ba8e-aae92c849c32","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"07360576-fa62-4315-81c8-c514faffd26e",2022-01-11T15:32:36Z,2022-01-11T15:32:36Z,"cd0f0417-e38b-4ed0-b1d5-2c8bb3af3cca","Personal Use","cd0f0417-e38b-4ed0-b1d5-2c8bb3af3cca","dfa0878c-2076-479f-b22b-8c2fb8f93b29","95e5a1ae-5b9f-4d10-b1de-47fe89920fc1","Student Material"
,"0738040f-3909-4680-9d50-b0fe76202273",2021-11-11T18:14:10Z,2021-11-11T18:14:10Z,"880f8566-19b2-4e3f-8b77-d2fcd48261eb","Testing","880f8566-19b2-4e3f-8b77-d2fcd48261eb","d9903bea-3ea7-4ee4-9628-c44b25ae15f2","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"07506046-93e5-4ccd-a52f-f7525012b218",2021-10-25T16:45:09Z,2021-10-25T16:45:09Z,"880f8566-19b2-4e3f-8b77-d2fcd48261eb","Testing","880f8566-19b2-4e3f-8b77-d2fcd48261eb","d9903bea-3ea7-4ee4-9628-c44b25ae15f2","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"077a2242-1ccc-428b-baa6-eab814b16616",2021-10-11T20:05:44Z,2021-10-11T20:05:44Z,"5640e555-76ef-4821-8074-f5a938edfbb9","Personal Use","5640e555-76ef-4821-8074-f5a938edfbb9","c58e32b2-7283-4a57-a601-cdbff62e38bf","d85061c4-5551-4f2b-8343-4418677dbbf6","Instructor Material"
,"07a0e345-b0cf-4bb3-bfad-c22feb000e3a",2022-01-10T18:16:11Z,2022-01-10T18:16:11Z,"229ebc77-712c-458a-a651-fedd6bde5808","Class Assignment","229ebc77-712c-458a-a651-fedd6bde5808","6dec567e-189b-4ac2-9335-cc76a866310b","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"07cf52c8-24db-47ec-8b64-e59c155dbad8",2022-01-11T19:10:06Z,2022-01-11T19:10:06Z,"95d5d4ba-db0a-4a54-be13-0db254bfc74d","Other","95d5d4ba-db0a-4a54-be13-0db254bfc74d","b660d3d3-eae9-4e68-9048-8a3ced362afa","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"07cfa430-b809-4d66-bc5a-0e9c75f1d095",2021-11-18T19:32:54Z,2021-11-18T19:32:54Z,"be13bdf7-706f-4740-9806-21070162db7f","Class Assignment","be13bdf7-706f-4740-9806-21070162db7f","d5c5eb68-b99d-4e33-a782-cda38d44d2e8","2119eba5-f949-4e72-887c-0e9af2de5cca","Student Material"
,"07d8d80e-8197-4bc9-a8f0-f96bf1e2da58",2021-11-19T17:41:56Z,2021-11-19T17:41:56Z,"88ac2ede-66f1-4c75-9efa-5d526d6d8213","Class Assignment","88ac2ede-66f1-4c75-9efa-5d526d6d8213","4ee71f7d-ad92-48c1-a1e4-4d5e32e2b47a","2119eba5-f949-4e72-887c-0e9af2de5cca","Student Material"
,"0831b648-4ed7-4072-9d9d-7c4855076ea7",2022-01-20T12:23:42Z,2022-01-20T12:23:42Z,"0e71ed39-f8b2-4282-b6cb-8278f532bc31","Class Assignment","0e71ed39-f8b2-4282-b6cb-8278f532bc31","de8f3edd-a1b0-4b18-97b2-e79c5dee5f72","27a24058-5abb-44fa-9aee-c94a109c9185","Instructor Material"
,"0835aa6b-bfc4-4b43-ad60-9089f1dea87f",2021-10-17T01:49:43Z,2021-10-17T01:49:43Z,"a966733a-970a-4bb3-a9fa-eeb9386ba866","Other","a966733a-970a-4bb3-a9fa-eeb9386ba866","42ba6b98-07e9-4303-89e4-f88a65c9d179","1506d067-13e4-40f2-8ba0-5e0fabc9741b","Instructor Material"
